Id,Call Timestamp,Call-Centres City,Channel,City,Customer Name,Reason,Response Time,Sentiment,State,Call Duration In Minutes,Csat Score
DKK-57076809-w-055481-fU,29-10-2020,Los Angeles,Call-Center,Detroit,Analise Gairdner,Billing Question,Within SLA,Neutral,Michigan,17,7
QGK-72219678-w-102139-KY,05-10-2020,Baltimore,Chatbot,Spartanburg,Crichton Kidsley,Service Outage,Within SLA,Very Positive,South Carolina,23,
GYJ-30025932-A-023015-LD,04-10-2020,Los Angeles,Call-Center,Gainesville,Averill Brundrett,Billing Question,Above SLA,Negative,Florida,45,
ZJI-96807559-i-620008-m7,17-10-2020,Los Angeles,Chatbot,Portland,Noreen Lafflina,Billing Question,Within SLA,Very Negative,Oregon,12,1
DDU-69451719-O-176482-Fm,17-10-2020,Los Angeles,Call-Center,Fort Wayne,Toma Van der Beken,Payments,Within SLA,Very Positive,Indiana,23,
JVI-79728660-U-224285-4a,28-10-2020,Baltimore,Call-Center,Salt Lake City,Kaylyn Emlen,Billing Question,Within SLA,Neutral,Utah,25,5
AZI-95054097-e-185542-PT,16-10-2020,Baltimore,Chatbot,Tyler,Phillipe Bowring,Billing Question,Within SLA,Neutral,Texas,31,8
TWX-27007918-I-608789-Xw,21-10-2020,Los Angeles,Chatbot,New York City,Krysta de Tocqueville,Billing Question,Below SLA,Positive,New York,37,
XNG-44599118-P-344473-ZU,03-10-2020,Baltimore,Email,Dallas,Oran Lifsey,Billing Question,Below SLA,Very Negative,Texas,37,
RLC-64108207-Z-285141-VS,07-10-2020,Baltimore,Chatbot,Cincinnati,Port Inggall,Billing Question,Within SLA,Neutral,Ohio,12,
RJF-00263922-O-647027-TB,09-10-2020,Los Angeles,Chatbot,Everett,Ella Cristoforo,Billing Question,Within SLA,Negative,Washington,35,
ZQN-32874873-e-786499-kJ,11-10-2020,Los Angeles,Web,Huntington,Aubrey Surcombe,Billing Question,Within SLA,Negative,West Virginia,18,
JDP-35147568-w-630120-3l,02-10-2020,Baltimore,Call-Center,Portland,Nicolle Fareweather,Billing Question,Within SLA,Very Positive,Oregon,30,
DPT-56483482-P-371409-CQ,10-10-2020,Denver,Chatbot,Springfield,Melesa Ricardot,Billing Question,Within SLA,Positive,Massachusetts,20,7
ZOV-95861398-a-333622-9r,06-10-2020,Baltimore,Call-Center,Hyattsville,Odell Cathesyed,Payments,Below SLA,Very Negative,Maryland,22,
BEJ-69711449-V-758715-cp,18-10-2020,Denver,Chatbot,New York City,Dani Stanfield,Billing Question,Within SLA,Negative,New York,28,4
DEC-83767217-S-314070-eR,11-10-2020,Baltimore,Email,Huntsville,Margarette Jehaes,Billing Question,Above SLA,Negative,Alabama,36,
XNY-04106353-Y-318117-I9,30-10-2020,Baltimore,Call-Center,Wichita,Noni Greatrakes,Billing Question,Above SLA,Neutral,Kansas,37,
GKH-06532516-2-756137-9w,26-10-2020,Baltimore,Web,Lansing,Gerik Archell,Billing Question,Within SLA,Negative,Michigan,41,
